,city,country,latitude,location_data_accuracy,longitude,state,availability,average_image_size,bathroom,bedroom,cat,date_available,description,dog,housing_type,image_number,laundry,parking,price,smoking,square_footage,url
4951399206,Manassas,US,38.801098,0,-77.445426,VA,available now,0, 1,1 ,cats are OK - purrr,2016-03-15,"
        Just opened! Orchard Bridge is a garden-style, three- and four-story walk-up apartment community consisting of 368 apartments across 15 buildings, a clubhouse with fitness center and outdoor pool, and freestanding garages. Apartments offer balconies or sunrooms, with some apartments featuring bay windows. 

Be the 1st to live in these new, beautiful luxury apartments. We only have a handful available for move in, so CALL TODAY 
 show contact info
 to schedule your tour!
",,apartment,0,w/d in unit,,$1160,no smoking,800,http://washingtondc.craigslist.org/nva/apa/4951399206.html
4951427930,Arlington,US,38.841500,0,-77.090500,DC,available now,12272, 1,2 ,,2015-06-01,"
        Partially furnished, luxury 1BR+den condo in Ballston in great building with many amenities. Move-in ready with Crate and Barrel dishes and sheets. 

Apt is very short walk to Ballston and Virginia Square metro stops, Ballston mall, many retail establishments and restaurants, and many government buildings, with easy commute to DC and Reagan National airport, and includes:
1. Fully-equipped and ready-to-use kitchen w/ dishes, some pots and pans, silverware, glasses, cups, coffee maker, toaster, etc.
2. Bathroom w/ towels, shower curtain, etc.
3. Iron / ironing board
4. Large bedroom w/ king-size bed, nightstand and lamps
5. Den with bookcase, chair + desk, lamp
6. Dining w/ 2 comfortable, leather bar stools
7. Nook w/ bookshelf
8. Living area w/ sectional leather couch + ottoman, coffee table + lamp
9. Media center console
10. Artwork on walls + decorations 

Renter can pick and choose what pieces of furniture to retain.

Den can serve as office or 2nd bedroom or nursery (currently set up as office with study table). Unit has modern, new kitchen with granite counter-tops and all stainless appliances, and small outdoor balcony. Building includes security system and monitoring, and has many amenities including pool, gym (conveniently located on same floor), full-service conference room and business center, outdoor patios and BBQ areas, party / club room, game room with pool and poker table, theater with luxury couches and on-site concierge / property manager during business hours.

Rental rate includes 1 assigned parking space in covered, secured garage; unit has washer-dryer and plenty of closet / storage space. Water / electricity / cable are not included. $500 move-in fee as mandated by building is directly due to management.

Unit is available after June 1; can be shown anytime; please contact 
 show contact info
for more information.
    ",,condo,22,w/d in unit,attached garage,$2250,,818,http://washingtondc.craigslist.org/nva/apa/4951427930.html
4951439957,,,,,,,available now,11250, 2,3 ,,2015-06-01,"
        3 Bedroom home with full wrap around porch located on 31 acre horse farm. 1,500 square ft approximate, 3 bedrooms, 2 full baths, master bath has double sinks, separate shower, and 2 person jacuzzi tub with jets, tile floors in both baths, kitchen, mudroom/laudry, and foyer, burber carpet in the rest of the home. Every room has windows with gorgeous 360 degree views of the mountains. Jen Air stove, dishwasher, washer/dryer, and central air and heat. High speed Internet that is faster than DSL Internet included at no cost . Trash service, and all lawn maintance is also included in the rent. Your only extra cost is utilies and they average over a year at approx. $200.00 per month which includes all utilities, on a well so no water bill. This property is located near approximately 15 Vineyard's within a 5 mile radius. It is available for viewing now with an appointment. DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY! One of the Owners of the property is a licensed Real Estate Asso. Broker in VA and WV. This property is a non smoking environment. THE PEACE AND TRANQUILITY ALONG WITH THE PRIVACY OF OUR TENANTS IS OF THE UTMOST IMPORTANCE. We have a current tenant, so an appointment are required. We do have room for horses with a separate boarding contract, it is not included in the rent.

Pets considered on a case by case basis and signing of a Strict Pet Addendum one for cats and one for dogs with an extra deposit.

Available for viewing April 1st, 2015.

Available to move in on June 1st, 2015.

DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY!
Respond with the following for a response back;
Your Name
Your Phone number
Who (if anyone) will be living in the house with you
A little bit about you and who (if anyone) will be living with you (where you work, interests, hobbies)
Duration of Lease you are seeking.
Yearly Income

Credit check, Criminal background check and recent Landlord Rental References required.

If you want a reply back leave your phone number. If no phone number to call no questions will be answered. Thank you!
    ",,house,24,w/d in unit,,$1800,,1500,http://washingtondc.craigslist.org/nva/apa/4951439957.html
4951442971,,,,,,,available now,11250, 2,3 ,,2016-02-01,"
        3 Bedroom home with full wrap around porch located on 31 acre horse farm. 1,500 square ft approximate, 3 bedrooms, 2 full baths, master bath has double sinks, separate shower, and 2 person jacuzzi tub with jets, tile floors in both baths, kitchen, mudroom/laudry, and foyer, burber carpet in the rest of the home. Every room has windows with gorgeous 360 degree views of the mountains. Jen Air stove, dishwasher, washer/dryer, and central air and heat. High speed Internet that is faster than DSL Internet included at no cost . Trash service, and all lawn maintance is also included in the rent. Your only extra cost is utilies and they average over a year at approx. $200.00 per month which includes all utilities, on a well so no water bill. This property is located near approximately 15 Vineyard's within a 5 mile radius. It is available for viewing now with an appointment. DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY! One of the Owners of the property is a licensed Real Estate Asso. Broker in VA and WV. This property is a non smoking environment. THE PEACE AND TRANQUILITY ALONG WITH THE PRIVACY OF OUR TENANTS IS OF THE UTMOST IMPORTANCE. We have a current tenant, so an appointment are required. We do have room for horses with a separate boarding contract, it is not included in the rent.

Pets considered on a case by case basis and signing of a Strict Pet Addendum one for cats and one for dogs with an extra deposit.

Available for viewing April 1st, 2015.

Available to move in on June 1st, 2015.

DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY!
Respond with the following for a response back;
Your Name
Your Phone number
Who (if anyone) will be living in the house with you
A little bit about you and who (if anyone) will be living with you (where you work, interests, hobbies)
Duration of Lease you are seeking.
Yearly Income

Credit check, Criminal background check and recent Landlord Rental References required.

If you want a reply back leave your phone number. If no phone number to call no questions will be answered. Thank you! 

",,house,24,w/d in unit,,$1800,no smoking,1500,http://washingtondc.craigslist.org/nva/apa/4951442971.html
4951445337,,,,,,,available now,11250, 2,3 ,,2015-06-01,"
        3 Bedroom home with full wrap around porch located on 31 acre horse farm. 1,500 square ft approximate, 3 bedrooms, 2 full baths, master bath has double sinks, separate shower, and 2 person jacuzzi tub with jets, tile floors in both baths, kitchen, mudroom/laudry, and foyer, burber carpet in the rest of the home. Every room has windows with gorgeous 360 degree views of the mountains. Jen Air stove, dishwasher, washer/dryer, and central air and heat. High speed Internet that is faster than DSL Internet included at no cost . Trash service, and all lawn maintance is also included in the rent. Your only extra cost is utilies and they average over a year at approx. $200.00 per month which includes all utilities, on a well so no water bill. This property is located near approximately 15 Vineyard's within a 5 mile radius. It is available for viewing now with an appointment. DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY! One of the Owners of the property is a licensed Real Estate Asso. Broker in VA and WV. This property is a non smoking environment. THE PEACE AND TRANQUILITY ALONG WITH THE PRIVACY OF OUR TENANTS IS OF THE UTMOST IMPORTANCE. We have a current tenant, so an appointment are required. We do have room for horses with a separate boarding contract, it is not included in the rent.

Pets considered on a case by case basis and signing of a Strict Pet Addendum one for cats and one for dogs with an extra deposit.

Available for viewing April 1st, 2015.

Available to move in on June 1st, 2015.

DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY!
Respond with the following for a response back;
Your Name
Your Phone number
Who (if anyone) will be living in the house with you
A little bit about you and who (if anyone) will be living with you (where you work, interests, hobbies)
Duration of Lease you are seeking.
Yearly Income

Credit check, Criminal background check and recent Landlord Rental References required.

If you want a reply back leave your phone number. If no phone number to call no questions will be answered. Thank you! 
",,house,24,w/d in unit,,$1800,no smoking,1500,http://washingtondc.craigslist.org/nva/apa/4951445337.html
4951447061,,,,,,,available now,11250, 2,3 ,,2015-06-01,"
        3 Bedroom home with full wrap around porch located on 31 acre horse farm. 1,500 square ft approximate, 3 bedrooms, 2 full baths, master bath has double sinks, separate shower, and 2 person jacuzzi tub with jets, tile floors in both baths, kitchen, mudroom/laudry, and foyer, burber carpet in the rest of the home. Every room has windows with gorgeous 360 degree views of the mountains. Jen Air stove, dishwasher, washer/dryer, and central air and heat. High speed Internet that is faster than DSL Internet included at no cost . Trash service, and all lawn maintance is also included in the rent. Your only extra cost is utilies and they average over a year at approx. $200.00 per month which includes all utilities, on a well so no water bill. This property is located near approximately 15 Vineyard's within a 5 mile radius. It is available for viewing now with an appointment. DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY! One of the Owners of the property is a licensed Real Estate Asso. Broker in VA and WV. This property is a non smoking environment. THE PEACE AND TRANQUILITY ALONG WITH THE PRIVACY OF OUR TENANTS IS OF THE UTMOST IMPORTANCE. We have a current tenant, so an appointment are required. We do have room for horses with a separate boarding contract, it is not included in the rent.

Pets considered on a case by case basis and signing of a Strict Pet Addendum one for cats and one for dogs with an extra deposit.

Available for viewing April 1st, 2015.

Available to move in on June 1st, 2015.

DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY!
Respond with the following for a response back;
Your Name
Your Phone number
Who (if anyone) will be living in the house with you
A little bit about you and who (if anyone) will be living with you (where you work, interests, hobbies)
Duration of Lease you are seeking.
Yearly Income

Credit check, Criminal background check and recent Landlord Rental References required.

If you want a reply back leave your phone number. If no phone number to call no questions will be answered. Thank you! 
",,house,24,w/d in unit,,$1800,no smoking,1500,http://washingtondc.craigslist.org/nva/apa/4951447061.html
4951450226,,,,,,,available now,11250, 2,3 ,,2015-06-01,"
        3 Bedroom home with full wrap around porch located on 31 acre horse farm. 1,500 square ft approximate, 3 bedrooms, 2 full baths, master bath has double sinks, separate shower, and 2 person jacuzzi tub with jets, tile floors in both baths, kitchen, mudroom/laudry, and foyer, burber carpet in the rest of the home. Every room has windows with gorgeous 360 degree views of the mountains. Jen Air stove, dishwasher, washer/dryer, and central air and heat. High speed Internet that is faster than DSL Internet included at no cost . Trash service, and all lawn maintance is also included in the rent. Your only extra cost is utilies and they average over a year at approx. $200.00 per month which includes all utilities, on a well so no water bill. This property is located near approximately 15 Vineyard's within a 5 mile radius. It is available for viewing now with an appointment. DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY! One of the Owners of the property is a licensed Real Estate Asso. Broker in VA and WV. This property is a non smoking environment. THE PEACE AND TRANQUILITY ALONG WITH THE PRIVACY OF OUR TENANTS IS OF THE UTMOST IMPORTANCE. We have a current tenant, so an appointment are required. We do have room for horses with a separate boarding contract, it is not included in the rent.

Pets considered on a case by case basis and signing of a Strict Pet Addendum one for cats and one for dogs with an extra deposit.

Available for viewing April 1st, 2015.

Available to move in on June 1st, 2015.

DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY!
Respond with the following for a response back;
Your Name
Your Phone number
Who (if anyone) will be living in the house with you
A little bit about you and who (if anyone) will be living with you (where you work, interests, hobbies)
Duration of Lease you are seeking.
Yearly Income

Credit check, Criminal background check and recent Landlord Rental References required.

If you want a reply back leave your phone number. If no phone number to call no questions will be answered. Thank you!
    ",,house,24,w/d in unit,,$1800,,1500,http://washingtondc.craigslist.org/nva/apa/4951450226.html
4951451667,,,,,,,available now,11250, 2,3 ,,2015-06-01,"
        3 Bedroom home with full wrap around porch located on 31 acre horse farm. 1,500 square ft approximate, 3 bedrooms, 2 full baths, master bath has double sinks, separate shower, and 2 person jacuzzi tub with jets, tile floors in both baths, kitchen, mudroom/laudry, and foyer, burber carpet in the rest of the home. Every room has windows with gorgeous 360 degree views of the mountains. Jen Air stove, dishwasher, washer/dryer, and central air and heat. High speed Internet that is faster than DSL Internet included at no cost . Trash service, and all lawn maintance is also included in the rent. Your only extra cost is utilies and they average over a year at approx. $200.00 per month which includes all utilities, on a well so no water bill. This property is located near approximately 15 Vineyard's within a 5 mile radius. It is available for viewing now with an appointment. DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY! One of the Owners of the property is a licensed Real Estate Asso. Broker in VA and WV. This property is a non smoking environment. THE PEACE AND TRANQUILITY ALONG WITH THE PRIVACY OF OUR TENANTS IS OF THE UTMOST IMPORTANCE. We have a current tenant, so an appointment are required. We do have room for horses with a separate boarding contract, it is not included in the rent.

Pets considered on a case by case basis and signing of a Strict Pet Addendum one for cats and one for dogs with an extra deposit.

Available for viewing April 1st, 2015.

Available to move in on June 1st, 2015.

DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY!
Respond with the following for a response back;
Your Name
Your Phone number
Who (if anyone) will be living in the house with you
A little bit about you and who (if anyone) will be living with you (where you work, interests, hobbies)
Duration of Lease you are seeking.
Yearly Income

Credit check, Criminal background check and recent Landlord Rental References required.

If you want a reply back leave your phone number. If no phone number to call no questions will be answered. Thank you! 
",,house,24,w/d in unit,,$1800,no smoking,1500,http://washingtondc.craigslist.org/nva/apa/4951451667.html
4951551830,Annandale,US,38.829712,0,-77.214704,VA,available now,19285, 1,2 ,cats are OK - purrr,2016-01-24,"
        2 Bedroom , 1 Bathroom, 950 sq ft, home in Heritage Woods area of Annandale VA.  Large balcony with a view of hundreds of trees.  

This spacious home is inside the beltway, confidently close to Little River Turnpike, Braddock Rd., 66, 495, and 395.  It is less than a mile to Patriot Shopping Center, Ossian Hall Park, Annandale High School, and a dozen restaurants.   Only 100 yards to a metro bus stop. 

I pay the condo fees which includes: gas, water, trash pick up, outside maintenance, elevator maintenance, and use of the pool and tennis court. But, you must pay for electric, and cable TV.

 Min 1 year lease.  No smoking. Pets case-by-case

4345  Ivymount  # 35, Annandale, VA 22003  

For more information call  Richard Sweetland - Realtor    
 show contact info


www.Ivymount.Net - - 
 show contact info

",dogs are OK - wooof,condo,14,laundry in bldg,off-street parking,$1500,,935,http://washingtondc.craigslist.org/nva/apa/4951551830.html
4951683785,,,,,,,available now,11250, 2,3 ,,2015-06-01,"
        3 Bedroom home with full wrap around porch located on 31 acre horse farm. 1,500 square ft approximate, 3 bedrooms, 2 full baths, master bath has double sinks, separate shower, and 2 person jacuzzi tub with jets, tile floors in both baths, kitchen, mudroom/laudry, and foyer, burber carpet in the rest of the home. Every room has windows with gorgeous 360 degree views of the mountains. Jen Air stove, dishwasher, washer/dryer, and central air and heat. High speed Internet that is faster than DSL Internet included at no cost . Trash service, and all lawn maintance is also included in the rent. Your only extra cost is utilies and they average over a year at approx. $200.00 per month which includes all utilities, on a well so no water bill. This property is located near approximately 15 Vineyard's within a 5 mile radius. It is available for viewing now with an appointment. DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY! One of the Owners of the property is a licensed Real Estate Asso. Broker in VA and WV. This property is a non smoking environment. THE PEACE AND TRANQUILITY ALONG WITH THE PRIVACY OF OUR TENANTS IS OF THE UTMOST IMPORTANCE. We have a current tenant, so an appointment are required. We do have room for horses with a separate boarding contract, it is not included in the rent.

Pets considered on a case by case basis and signing of a Strict Pet Addendum one for cats and one for dogs with an extra deposit.

Available for viewing April 1st, 2015.

Available to move in on June 1st, 2015.

DUE TO A SHARED WELL ONLY A 2 PERSON OCCUPANCY!
Respond with the following for a response back;
Your Name
Your Phone number
Who (if anyone) will be living in the house with you
A little bit about you and who (if anyone) will be living with you (where you work, interests, hobbies)
Duration of Lease you are seeking.
Yearly Income

Credit check, Criminal background check and recent Landlord Rental References required.

If you want a reply back leave your phone number. If no phone number to call no questions will be answered. Thank you!
    ",,house,24,w/d in unit,,$1800,,1500,http://washingtondc.craigslist.org/nva/apa/4951683785.html
