,city,country,latitude,location_data_accuracy,longitude,state,availability,average_image_size,bathroom,bedroom,cat,date_available,description,dog,housing_type,image_number,laundry,parking,price,smoking,square_footage,time_of_posting,url
5007822001,,,38.925200,0,-77.392800,,available now,270000, 1,1 ,,2015-07-01,"
        Available July 1st
Luxury 1 Bedroom, 1 Bathroom condo for rent in Herndon, VA (on border with Reston). Located within the Gated Community of Bryson at Woodland Park right off of 28, 7100, and Dulles Toll Road. Location is convenient to Dulles Airport, Reston Town Center, Worldgate Shopping Center, the Herndon-Monroe Park & Ride, and businesses in the Dulles corridor. Located right next door to the new upscale Woodland Park Crossing Shopping Center.

Condo amenities include:

   - Exterior Sunrise Valley rd view 
   - Private balcony
   - Garage parking with reserved spot at floor level (no need to use stairs or elevators)
   - Granite kitchen counter top
   - Stainless steel GE appliances
   - In-unit GE washer and dryer
   - Large bathroom with an extra large soaker tub
   - Security System is optional (additional activation costs)

Upgrades you wont find in similar condos

   - 1 parking space (Plenty available parking spaces)
   - End Unit
   - Top Floor (4th)
   - Fresh paint
   - Newly replaced Carpet
   - Fire Place

Condo Complex amenities include access to;

    - 2 pools
    - Hot Tub
    - Fitness Center
    - Clubhouse Game Room
    - Newly renovated business center
    - Multiple outdoor gas grills
    - Park and sitting area

Walking distance to the Metro's Monroe Park and Ride (planned stop on the new metro expansion), 9 miles to Tyson's Corner and 23 miles to Washington DC.

Right across the street from Fairfax County's premier one-stop shopping center, Woodland Park Crossings (www.woodlandparkcrossing.com), which includes;

    Biryani Pointe, Virginia ABC, Down Dog yoga, LA Boxing, Medifast, JW Tumbles, Barber Shop, Bubbles Hair Salon, Harris Teeter, Panera, Starbucks, Finnegan's Sport Bar & Grill, Manhattan Pizza, Pei Wei, Moby Dick House of Kabobs, Moe's Southwest Grill, Kumo Sushi and much more!!!!!!

Why this condo is better than similar ones at Bryson:

    - It is NOT located near the loud trash compactors
    - It is NOT located near the Garage - no car alarms and loud cars
    - It is NOT located near the stairwell - no slamming doors and loud people
    - It's on the fourth Top floor

Fees

    - HOA Fees: Paid by Owner
    - Application Fee: Free (applicant provide credit report)
    - Lease Duration: 1 year lease or more
    - 1st Month Rent: $1,395.00 due at Lease Signing
    - Security Deposit: $1,395.00 due at Lease Signing
    - Utilities not included in monthly rent
    - No Pets
    ",,apartment,17,w/d in unit,attached garage,$1395,,750,2015-05-03  1:05pm,http://washingtondc.craigslist.org/nva/apa/5007822001.html
5007837928,Fairfax,US,38.858274,0,-77.322328,DC,available now,270000, 1,1 ,,2015-05-03,"
        Cuarto disponible AHORA cerca de parada METRO BUS . En el centro de Fairfax.

144Sq FT. 12 x 12 pies 
-Se comparte cocina y bano
- maquinas de lavar en la casa
- $499 pero se tiene que pagar servicios
- dos closet grandes
- Se puede rentar con muebles si desea

Favor de llamarme 
 show contact info
",,apartment,4,laundry in bldg,off-street parking,$499,,,2015-05-03  1:15pm,http://washingtondc.craigslist.org/nva/apa/5007837928.html
5000565538,Arlington,US,38.854434,0,-77.115650,DC,available now,270000, 2.5,3 ,,2015-05-01,"
        KEY FEATURES-
Sq Footage: 1,564 sq. ft. 
Bedrooms: 3 Beds
Bathrooms: 2.5 Baths
Parking: 2 Parking Space Avail*
Lease Duration: 1 Year (Minimum)
Deposit: $2,300
Pets Policy: No Pets
Laundry: Washer/Dryer in Unit
Property Type: Condo
Smoking: No Smoking
UNFURNISHED


DESCRIPTION

Beautiful double level penthouse located in the vibrant Arlington neighborhood. The apartment has features such as stunning wrap around balconies, wood floors, stackable washer/dryer in unit, central air, shoji screens on both levels and great building amenities. Trash & Water is included in rent but tenant would be responsible for paying Electric. For more information or to schedule an appointment please contact First Priority Management at 
 show contact info


Credit & Criminal Background Checks Required

Basic Move-In Fee: $200 (non-refundable)
Within Building Moving Fee: $100

*One parking spot included in rent. 2nd parking spot is available for $50/month


RENTAL FEATURES
------------------------------------------------------------------------------
* 2 Assigned parking spaces
* Additional Storage
* Wrap around balconies
* central Heating & Cooling
* Garbage Disposal
* Dishwasher
* washer/Dryer in Unit
* Overhead Microwave
* Breakfast Nook
* Dining room
* Master Bath
* Walk-In Closet
* Range Oven 
*Shoji Screens

Building Amenities
* Basketball Court
* Elevator
* Fitness Center
* Patio
* Pre-wired for Cable TV, High-Speed Internet, and HDMI Ports
* Controlled Building Access 
* Pool
* Sports Courts
    ",,condo,9,w/d in unit,attached garage,$2300,,1564,2015-04-28  3:27pm,http://washingtondc.craigslist.org/nva/apa/5000565538.html
5007740236,mclean,US,38.930504,0,-77.225647,DC,available now,270000, 1,1 ,cats are OK - purrr,2015-05-03,"
        Move up to First-Class at Ovation at Park Crest!

**Application and Move-In Fees waived!
**Up to 3 Months Rent Free!!
**Waived parking for entire lease term!!
Ovation at Park Crest, offers modern luxury high-rise living within a prime area of Tysons. Walk to high end restaurants and the area's finest shopping malls, Tyson's Galleria, Tyson's center and more.

 Interiors Include: 
 granite countertops
 stainless energy efficient appliances
 solar/translucent roller shades
 espresso cabinets
 10 foot ceilings. 

 Community Amenities:
 24-hour club quality fitness facility
 well-appointed social spaces for all residents and guests
 built to LEED silver certification
 resort style pool with large sundeck
 multi level water feature and outdoor plaza
 bocce court



paste the link below to your address bar to send us an email:
http://ovation.prospectportal.com

show contact info



*select units
**Pricing, Specials and Availability are subject to change without notice.
**SQFT listed is an approximate value for each apartment. 

",dogs are OK - wooof,apartment,9,,,$1755,no smoking,795,2015-05-03 12:09pm,http://washingtondc.craigslist.org/nva/apa/5007740236.html
5007644197,,,,,,,available now,0, 3,3 ,,2015-05-03,"
        Townhouse with 3 bedrooms.   An open concept floor. Plenty of natural light and fire place in the basement. . walk to commuter bus and shopping. Enjoy access to a lake and swimming pool. Good for a family or 3 roommates.
",dogs are OK - wooof,townhouse,0,w/d in unit,off-street parking,$1750,,,2015-05-03 10:59am,http://washingtondc.craigslist.org/nva/apa/5007644197.html
5007653455,Springfield,US,38.744900,22,-77.237000,DC,available now,270000, 2.5,5 ,cats are OK - purrr,2015-05-03,"
        ONE OF SARATOGA''S LARGEST FLOOR PLANS! Wonderful home offering flowing floor plan and terrific updates*Updated eat-in kitchen w/granite counters & stainless steel appliances*4 BR''s up w/laundry on upper lvl&loads of xtra storage in eaves*MBR suite has den/sitting rm.area & walk-in closet.FR w/wood stove insert*Relaxing deck overlooks fenced yrd*GREAT loc.Close to Springfield Towne Cntr&Major rtes
    ",,house,6,w/d in unit,attached garage,$3050,no smoking,2860,2015-05-03 11:06am,http://washingtondc.craigslist.org/nva/apa/5007653455.html
4975324755,Arlington,US,38.886498,0,-77.093446,DC,available now,270000, 2,2 ,,2015-06-01,"
        About the unit:

- 980 sq. ft.
- 10th floor
- 2 bedrooms and 2 bathrooms
- 3 walk-in closets
- 9 ft ceilings
- No balcony
- Very limited view (overlooks neighboring building across the alley)
- Hardwood in the foyer, kitchen, bedrooms and living / dining room
- Black granite and stainless steel appliances in the kitchen 
- Stacked washer and dryer
- 1 underground garage parking space (If you would like to have an additional parking space, please call Colonial Parking at 
 show contact info
and reference garage # 649. Website (please click on the pin with garage # 649 and then select ""See Details"":
https://www.ecolonial.com/parkers/parking-locator/?pm_s=1205+N+Garfield+St+Arlington%2C+VA+22201%2C+USA)
 - Storage bin on an underground garage level

About the building

- Residences at Station Square Condos
- No concierge. There is an on-site property management company (work hours 7am - 4pm Mon-Thu, 7am - 3pm Fri, closed on weekends and holidays)
- Community room
- Pool at a courtyard
- Self-service package room
- Gold's Gym in the neighboring building

http://www.residencesatstationsquare.com/about-us/our-buildings/

About the area:

- Walking distance (2 blocks) to Clarendon metro station
- Walking distance to Whole Foods, shops and restaurants

Minimum lease period is 1 year. Water is included, other utilities are extra. No pets / no smoking. Available for move-in on June 1.
    ",,condo,5,w/d in unit,,$2900,,980,2015-04-12 11:59am,http://washingtondc.craigslist.org/nva/apa/4975324755.html
5004652692,Arlington,US,38.891497,15,-77.081415,DC,available now,270000, 1,1 ,cats are OK - purrr,2015-07-14,"
        Arlington's newest luxury apartments are now open! Schedule an appointment today to reserve a rental home at 19Nineteen Clarendon luxury rental community before availability runs out!

Amenities:
SmarTrip Card Plus $25.00 Metro Fare Media for New Residents
Energy Efficient Fixtures and Appliances
Stainless Steel Appliances
Dynamic Design Interior Corridors
24 Hour Courtesy Staff
24-Hour Fitness Center
Moveable Chefs Island
100% Non-Smoking Building
Custom Italian Cabinetry
Bike Share Locations

Nearby:
Pottery Barn
Summers Restaurant
Yorktown High
Bayou Bakery
Sushi Rock
Wylie Wagg

Call: 
 show contact info
",dogs are OK - wooof,apartment,9,w/d in unit,attached garage,$2515,no smoking,735,2015-05-01  9:00am,http://washingtondc.craigslist.org/nva/apa/5004652692.html
5007477936,Arlington,US,38.860697,5,-77.060874,DC,available now,270000, 1,0 ,cats are OK - purrr,2015-07-30,"
Park at Pentagon Row CALL US: 
 show contact info
x986 Want more information? http://unit-availability.com/lead/401715434951/1?extnId=4449307 Studio B  Studio 1 bath / 479 sq ft / $1,440  Located in the heart of Pentagon City just steps to Pentagon City Metro and a short walk to Fashion Center. Enjoy the 24-hour rooftop fitness center, deck, on-site convenience store and valet dry cleaner, and nearby public tennis courts and park.  This 479 sq. ft. Studio/Efficiency 1 Bath features amazing amenities.  Floor Plan/Unit Amenities:  * Garage  * View  * Large Closets  * Private Patio  * Private Balcony  * Air Conditioning  * Washer/Dryer in Unit  Property Amenities:  * Concierge  * Gate  * Pool  * Covered Parking  * Fitness Center  * Storage Space  * Transportation  * Package Receiving  * Clubhouse  * Garage  * Smoke Free Living CALL US TODAY!
show contact info
x986  Park at Pentagon Row  801 15th St S Arlington, va 22202  PROPERTY WEBSITE:  http://www.eqrworld.com/virginia/alexandria-arlington-apartments/pentagon-city/park-at-pentagon-row-apartments.aspx?ilsid=93 Equal Housing Opportunity
    ",dogs are OK - wooof,apartment,6,w/d in unit,attached garage,$1440,,479,2015-05-03  8:02am,http://washingtondc.craigslist.org/nva/apa/5007477936.html
4998215150,FALLS,US,38.874965,0,-77.152648,CHURCH,available now,270000, 1,2 ,cats are OK - purrr,2015-05-01,"
 Beautiful, spacious, bright, Recently renovated 2br/1ba condo available for rent:   NOW !
 
Easy - 10 minute walk to  East Falls Church metro station on Orange line,
 
Close  to  W&OD trail 
 
2 blocks to shopping 
 
Few minutes drive to I-66  - I-495  - Rte-29 - Rte-7  - Rte 50 
 
 

  

 
~ 6 floor corner unit ( quiet and secluded) located in City of Falls Church -  (www.fallschurchva.gov) 

~ 2 reserved parking spaces, plus visitor parking 
 
~ Condo fee and all utilities included except for phone/internet/cable 
~ Large Balcony 
~ Large pantry and lots of closet space, with extra basement storage 
~ Community Party Room area. 
- BEST FALLS CHURCH CITY SCHOOLS - George Mason H. S. was voted: # 21th public school in the NATION!
~ Elementary - Thomas Jefferson
~ Middle - Mary Ellen Henderson
- 1 YEAR LEASE MINIMUM
- SOME PETS ""OK"" - we'll need to talk about it 

Please; call for more information, or to schedule a viewing. 
show contact info
- Sasha
",,apartment,10,,,$1849,,1049,2015-04-27  8:58am,http://washingtondc.craigslist.org/nva/apa/4998215150.html
5007197751,,,38.793000,22,-77.526600,,available now,270000, 1,2 ,,2015-06-01,"
        Large 2-Bedroom, 1- Bath Condo unit for rent. Close to 66, 234, Shops, Public Transportation. Available June 1st, 2015.  Washer/Dryer in unit.  Minimum one year Lease. No smoking, No Pets please.
    ",,condo,21,w/d in unit,,$1250,no smoking,1000,2015-05-02  9:19pm,http://washingtondc.craigslist.org/nva/apa/5007197751.html
4981563944,Manassas,US,38.770700,0,-77.449400,Park,available now,270000,,1,cats are OK - purrr,2015-05-07,"
        FIND YOUR PERFECT APARTMENT HOME HERE

The Residences at City Center - Live where you live. Beautiful landscape surrounds the sleek lines of our mid-rise buildings giving the community a classic warmth with a modern twist. Relax in the Resident Lounge or enjoy a workout in our state of the art fitness center. Choose from our spacious one and two bedroom floor plans, designed to complement your lifestyle. The Residences at City Center is a vibrant community that is continuously in motion for play, shopping, dining, and of course living. The Residences at City Center is located in one of Manassas Park's most desired locations; steps away from the Virginia Railway Express station, minutes from Route 28 and Interstate 66.

-24hr. Emergency maintenance
-Elevators
-24hr. Business Center
-Walk to train station
-Business center with equipment
-Air conditioning - central air
-Large fitness center
-Courtyard

Call: 
 show contact info


City Center Apartment Homes
Rates/Availability are subject to change
Equal Housing Opportunity
    ",dogs are OK - wooof,apartment,14,w/d in unit,off-street parking,$1125,,756,2015-04-16 11:40am,http://washingtondc.craigslist.org/nva/apa/4981563944.html
4975311193,,,,,,,available now,0, 2,3 ,cats are OK - purrr,2015-04-12,"
        4 bed 2 bath

Call today    703-988-4903.

 Also homes in Falls Church and Leesburg.















 Nice 3 bedroom home with a spacious backyard. today to schedule a showing with one of our leasing agents. Beautiful Spanish style estate nestled on 4oversized parcel""s and expands from North Bay to Alton Road. A secluded and private,pound with your own private tennis court. Cathedral ceilings, large rooms, decorative fireplace, Cypress/Mahogany wood beam ceilings. Newer kitchen, coral rock courtyard, resort style swimming pool w/lush tropical landscaping. Minutes to SOBE and Airport.
",dogs are OK - wooof,house,0,,,$1550,,1140,2015-04-12 11:49am,http://washingtondc.craigslist.org/nva/apa/4975311193.html
5007032167,Arlington,US,38.892786,0,-77.073598,DC,available now,270000, 2,2 ,,2015-05-02,"
        Immaculate 17th floor 2 BR 2 B condo in the luxury Belvedere, new oak hardwood (pictures how darkwood, we will revise when renovation completed!) and paint, built-in bookshelves, many upgrades, washer-dryer, microwave, disposal, views, windowed sunny patio.

Condominium fees, indoor assigned parking and water-sewer bills -- paid.

Award-winning management, full gym, hot tub, pool, lighted tennis, party and board rooms plus active social events in the building come with 24-hour security and guest parking -- included. 

A quick walk to Metro and many restaurants, Starbucks, grocery stores and restaurants. Nearby comparables the same size are $3600/month.

",,condo,11,w/d in unit,off-street parking,$2875,no smoking,1275,2015-05-02  6:39pm,http://washingtondc.craigslist.org/nva/apa/5007032167.html
5006908091,Leesburg,US,39.108352,0,-77.545474,DC,available now,270000, 1.5,2 ,cats are OK - purrr,2015-05-03,"
        This spring-enjoy the scenic view of your balcony in this modern apartment that comes complete with a washer/dryer in the apartment! ***Ask about our April move in special! 


Apartment Features:
•	Ample dinning & living areas
•	Ceramic bath tiles 
•	Expansive closets 
•	Large bedrooms & windows 
•	Private balcony
•	Two-tone paint
•	Whirlpool  appliances

This community has capital-area convenience & the scenic countryside of Loudoun County! The Manor Apartments for rent are ideally located near Leesburg Corner Premium Outlets. They are just off Route 7; minutes from the Downtown Historic District & Dulles We're also convenient to a commuter bus with access to DC's Union Station & the Metrorail for those trips to Washington, DC.

Call us today 
 show contact info

Come tour our community we are open daily 

Visit us: www.TheManorVA.com/CL 

Pricing may include current special & is subject to change without notice. 

",dogs are OK - wooof,apartment,8,laundry in bldg,off-street parking,$1285,,850,2015-05-02  5:05pm,http://washingtondc.craigslist.org/nva/apa/5006908091.html
4971259271,Manassas,US,38.800872,0,-77.445738,DC,available now,0, 1,1 ,cats are OK - purrr,2016-04-27,"
        Orchard Bridge is now open and apartments are filling quickly! Apartments include washer & drier, dishwasher, large kitchens, brand new carpeting, and walk-in closets. Coming soon is also a clubhouse featuring a fitness center, yoga room, library, business center, and pool out back.

We only have a handful available for move in! CALL TODAY 
 show contact info
to schedule your tour and reserve your new home!
    ",,apartment,0,w/d in unit,,$1160,no smoking,800,2015-04-09  3:23pm,http://washingtondc.craigslist.org/nva/apa/4971259271.html
4986786063,Arlington,US,38.853740,10,-77.105418,DC,available now,270000, 2,2 ,cats are OK - purrr,2015-06-01,"
        The Brittany condominium; spacious 2 bedroom, 2 bath condominium (1250 sq ft), with two garage parking spaces included. Full-size HE washer and dryer in unit. 

Amenities include tennis courts, pool, 24-hour concierge, movie room, club room, and state-of-the-art gym. 

Building is about 3-4 minutes from I-395 and Route 50. Commuter bus 16Y picks up less than a block from busing and goes into downtown DC. Bike trail directly behind the building and a plethora of stores and restaurants are just minutes away. 

Pets ok with $100 cleaning fee. One-year lease subject to credit check.
    ",dogs are OK - wooof,condo,14,w/d in unit,attached garage,$1900,no smoking,1252,2015-04-19  7:37pm,http://washingtondc.craigslist.org/nva/apa/4986786063.html
5006847032,Manassas,US,38.797377,0,-77.512364,DC,available now,270000, 1,2 ,cats are OK - purrr,2015-05-02,"
        The Point at Bull Run
Phone 
 show contact info

Visit us at http://www.ThePointatBullRunApts.com 
10519 Lariat Lane Manassas, VA 20109

Come make one of our 1 bedroom 1 bath Beauregard models your new home! This one bedroom apartment home features a spacious living room to entertain in, a nice dining room area to dine in, and an eat in kitchen! 

Washer and dryer in the home at your convenience. Also come enjoy our wonderful amenities Jr Olympic size pool, Fitness facility no need to go off site and a men's & women's sauna after an enjoyable workout and more! 

OFFICE HOURS:  
Sun 11:00 AM-5:00 PM  
Mon-Fri 9:00 AM-6:00 PM  
Sat 10:00 AM-5:00 PM

PROPERTY AMENITIES
Fitness Center
Business Center
Club House
Free Wi Fi in Clubhouse
High Speed Internet
Pool
Sundeck
On Site Maintenance
On Site Management
Short Term Lease
Tennis Court
Sauna
Package Receiving
Play Ground
Storage Space

Equal Housing Opportunity
Pricing and availability is subject to change at any time.
",dogs are OK - wooof,apartment,10,w/d in unit,,$1210,,953,2015-05-02  4:24pm,http://washingtondc.craigslist.org/nva/apa/5006847032.html
