,address,city,country,latitude,location_data_accuracy,longitude,state,availability,average_image_size,bathroom,bedroom,cat,date_available,description,dog,housing_type,image_number,laundry,parking,price,smoking,square_footage,url
4973881709,Lee Hwy at N.Stafford  st,Arlington,US,38.897078,0,-77.112007,VA,available now,270000, 1,1 ,cats are OK - purrr,2015-05-01,"
        Large, 809 sq ft one bedroom condo apartment  in Stoneridge Knoll on Lee Hwy
in sought after Cherrydale.  ALL UTILITIES ARE INCLUDED.  Plenty of parking 
for tenants and guests. Bus stop in front, 2 +miles to Rosslyn Metro. One mile walking 
distance to Ballston Metro.
Upper floor with tree top view with a lot of light and privacy.
Convenient to downtown DC, Maryland, Airports, Ballston, Clarendon 
Georgetown, Major Highways.
Walking distance to shopping, to Safeway, to Marymount university, to small
discreet shopping center with restaurants, pastry shop, wine/deli store, Lebanese
Taverna, etc. 
Two blocks to St Ann's  Church.  Taylor school district.
Hardwood floors, very large windows, large 16 ft x 6 1/2 ft balcony. Party room, 
exercise room,  Sun deck with panoramic view of VA, DC, MD. Watch the fire works. 
Controlled access, safe, secure, pet friendly building.  Please compare square footage 
with higher priced, smaller units.   Please call  
 show contact info

Interested responders Please include a tel number where you can be reached.





",dogs are OK - wooof,condo,8,laundry in bldg,off-street parking,$1800,,809,http://washingtondc.craigslist.org/nva/apa/4973881709.html
4984719348,21258 Windmill Parc Dr,Sterling,US,39.029186,0,-77.418079,va,available now,270000, 1,1 ,cats are OK - purrr,2015-04-18,"
        Taking the best the city has to offer to the suburbs, luxury apartment homes featuring modern lifestyle with an urban edge. Windmill Parc at Dulles Town Center is a planned mid-rise rental luxury residential development to be located in the master-planned development Dulles Town Center, at the intersection of City Center Boulevard and Nokes Boulevard in Dulles/Sterling in Loudoun County, VA


View Additional Floor Plan Images, Vacancy Details and Photos!

c o p y & p a s t e

http://www.WindmillParcAtDullesTown.AbodeCL.com/v/g1/ed/rose.html?i=VG1ED&r=cl

The monthly rental price stated on Craigslist is accurate at the time or post.
Please call to verify all pricing and availability as it may be subject to change daily.

EHO / Equal Housing Opportunity At Windmill Parc at Dulles Town Center
-.: :.- ---..:.----:.....:--:.-- -....:.....:.--:...--:.-- ---.:...--

agUJW faILbwn LaILa aIL pIQgE PuO uaILvV PaILvd RaILcps yaILyAb taILcMyEkR EHO / This Property iS AN EquaL HOuSiNg opPortuNItY ProvIDeR ObGC bxpqRD
    ",dogs are OK - wooof,apartment,11,w/d in unit,,$1598,no smoking,725,http://washingtondc.craigslist.org/nva/apa/4984719348.html
4984678576,86 Heritage Way NE,Leesburg,US,39.110866,10,-77.541036,VA,available now,270000, 2,2 ,cats are OK - purrr,2015-05-08,"
        The Point at Leesburg is conveniently located off routes 7 & 15, near the Leesburg Corner Premium Outlets. Select from our spacious 2 bedroom floor plans, all featuring full size washer/dryers and private patio/balcony. What is a life of comfort? It's a cozy apartment community with lush grounds and welcoming residences. It's well-designed homes with everything you need and style to spare. It's being able to walk to shopping and dining whenever you please. It's living at The Point at Leesburg. As one of Leesburg, Virginia's best located apartment communities, The Point at Leesburg offers an intimate, manicured setting with inviting residences only three stories high. Here, you'll enjoy the comforts of a friendly community complete with a stunning outdoor swimming pool, contemporary, spacious homes and the famous Leesburg Corner Premium Outlets only steps away. Call 
or email us to set up a time to view our community or learn more about us. We look forward to hearing from you! **Pricing is based on lease term and move in date. Prices change daily!*
    ",dogs are OK - wooof,apartment,10,w/d in unit,,$1375,,950,http://washingtondc.craigslist.org/nva/apa/4984678576.html
4961855140,,,,,,,,available now,270000, split,0 ,cats are OK - purrr,2015-04-03,"
        Brand new studio in the heart of Old Town. Gorgeous gourmet kitchen, plenty of closet space and a washer and dryer in unit. Will not last so contact Bianca today for a tour@ BOZVA15!
    ",dogs are OK - wooof,apartment,4,w/d in unit,attached garage,$1650,,,http://washingtondc.craigslist.org/nva/apa/4961855140.html
4984634089,2351 Eisenhower Ave,Alexandria,US,38.801164,5,-77.068813,DC,available now,270000, 1,1 ,cats are OK - purrr,2015-04-18,"
1BR + Den complete with sunroom, granite counters, and washer/dryer!UP TO 2 MONTHS FREE!
On Select Vacant Apartments


We warmly welcome your furry friends!
*Breed and Weight restrictions apply


View More Photos and
Floor Plan Graphic / Vacancy Details!
Highlight the URL below and paste into your browser window.

http://www.meridianeisenhowercl.com
Meridian at Eisenhower Apartments
369 Units

Meridian at Eisenhower Station offers elegant design, spacious homes with crisp lines, resort-quality amenities to help you relax, and breathtaking high-rise views. Outside this incomparable location includes retail conveniences in the building's street level, a 22-theatre multiplex cinema next door at Hoffman's Town Center, and Eisenhower Metro Station is across the street. AVAILABLE UNIT: ""Jackson"", 1+ bed/1 bath, 943 sqft, Flat/Single Level ADDRESS: 2351 Eisenhower Avenue, Alexandria, VA 22314 INTERIOR FEATURES INCLUDE:Ceramic Tile Floors and Ceramic TubCherry Kitchen CabinetsCultured Marble VanitiesWasher and DryerGranite CountertopsPlush Wall to Wall CarpetingWalk-in Closets (select units)Breakfast Bars (select apartments)Ceramic Tile Floors in Foyer/KitchenIndividually Controlled Air ConditioningGlass Enclosed Sunrooms (select units)Pre-Wired for Cable TV, Telephone, and InternetDogs and Cats Warmly Welcomed COMMUNITY AMENITIES INCLUDE:Rooftop Swimming Pool & SundeckAcross from Eisenhower Metro StationExecutive Conference RoomFitness Facility with Cardio TheatreTop Floor Clubroom with BilliardsWalking Distance to Shopping and DiningLandscaped CourtyardConcierge Services24-Hour Emergency MaintenanceStorage Units AvailableValet Dry Cleaning ServiceComplimentary Coffee ServiceEasy Access to I-95, I-495, Rte. 1, and Reagan National AirportControlled Building Access PHONE: 
show contact info
 WALKSCORE: 68 BIKESCORE: 58 Why Meridian at Eisenhower is the best place to come home to in the Alexandria area

""Great staff overall. Common areas very clean and welcoming. Great work by all staff."" -- Everett C

""Wonderful!! Polite, courteous and extremely professional staff! Prompt responses to maintenance requests as well as follow-up to assure that issues were addressed to my satisfaction. It is a very peaceful environment. I truly am pleased!"" -- Resident 

""The move in process was very quick and easy. Everyone was very friendly and helpful. The location is perfect--especially being right next to the metro and having a 22 screen AMC movie theater a half a block away."" -- Resident Cats Allowed / Dogs Allowed
Breed and weight restrictions may apply.

The monthly rental price stated on Craigslist is accurate at the time or post.
Please call to verify all pricing and availability as it may be subject to change daily.

Meridian at Eisenhower / Equal Housing Opportunity
",dogs are OK - wooof,apartment,10,w/d in unit,attached garage,$1841,,943,http://washingtondc.craigslist.org/nva/apa/4984634089.html
4969562327,,,,,,,,available now,270000, 1,1 ,cats are OK - purrr,2015-04-08,"
        Gorgeous gourmet open kitchen flows right into a spacious living space. Floor to ceiling windows and wood floors are the perfect touches! Plenty of closet space, gym, business center, and much more. Steps to the metro and waiting for you to call home! UDRVA1 contact Bianca for a tour.
    ",dogs are OK - wooof,apartment,6,w/d in unit,attached garage,$2094,,876,http://washingtondc.craigslist.org/nva/apa/4969562327.html
4968967462,,,,,,,,available now,270000, 2,2 ,cats are OK - purrr,2015-04-08,"
        Gourmet kitchen, over sized bedrooms and luxury finishes throughout! Must see! Fall in love with the huge closets and large windows! All of the amenities that you have been looking for and great for all commutes! MCRVA1 contact Bianca for a tour!
    ",dogs are OK - wooof,apartment,5,w/d in unit,attached garage,$1875,,,http://washingtondc.craigslist.org/nva/apa/4968967462.html
4984717657,King Solomon Dr at King David Blvd,Annandale,US,38.819231,0,-77.260666,VA,available now,270000, 3,5 ,cats are OK - purrr,2015-06-01,"
        Three-level home in peaceful Long Branch community. Great big yard and friendly neighbors. Walking distance to community park and local elementary school, part of top-ranked Woodson High School pyramid.

Minutes walk to express buses to Pentagon and Vienna Metro! Home perfect for family or professional. Ideal for military family searching for good school district! Section 8 subsidized renters welcomed.

Prefer longterm rental, year or more. Shorter terms can be arranged.


Building Amenities:


Washer/Dryer in unit
Air conditioning
Balcony/deck/patio/porch
Furnished units available
bicycle trails
parking plentiful
public transportation
top-notch public schools
brand new efficient appliances
recently remodeled modern facilities
",,house,5,w/d in unit,off-street parking,$3300,,3000,http://washingtondc.craigslist.org/nva/apa/4984717657.html
4984681503,6340 Wingate St,Alexandria,US,38.822835,10,-77.146853,VA,available now,270000, 2.5,3 ,,2015-04-18,"
Arbor Park of Alexandria's' Open House is this weekend Starting Friday! 

Come to Arbor Park and experience how a home should feel. You will find our Luxury style homes to be your perfect fit. Our exquisite finishes make our homes stand out from the rest.  To your benefit, Arbor Park of Alexandria offers a variety of floor plans. 

Beautiful on the inside 
________________________________________

•	 Universal Steel appliances 
•	 Dishwasher 
•	Kitchen islands* 
•	Convenient Built In Microwave
•	Full Size Washer & Dryers 
•	Spacious Walk-In Closets
•	Courtyards, Private Gardens and Balconies
•	 Refrigerator with icemaker 
•	 Wall to Wall carpeting 
•	 Walk-in closets 
•	 Balcony or patio

And beautiful on the Outside 
________________________________________
•	On Site Bus to Van Dorn Metro - 5 stops on property!
•	Large Sparkling Size Pool
•	Fitness Center
•	Playgrounds
•	Picnic Areas with BBQ
•	Beautifully Landscaped Grounds
•	Fairfax County School District
•	Close to I395 and I495
•	Great Proximity to Old Town, Arlington and DC
•	Walk to many Shops & Restaurants 
•	Close to Ft Myer
•	Pet stations in nearly every street

Call Diana today 
 show contact info

We are currently offering specials. 


For more information, please click here:
 http://www.arborparkofalexandria.com/CL

Watch Our Video: 
www.ArborParkOfAlexandria.com/Video
",,townhouse,11,w/d in unit,off-street parking,$2125,,1370,http://washingtondc.craigslist.org/nva/apa/4984681503.html
4984716889,2209 Pershing Drive,Arlington,US,38.880949,10,-77.084173,VA,available now,270000, 2,2 ,cats are OK - purrr,2015-04-18,"
 CALL US TODAY! 
show contact info
x140 2201 PERSHING2 bedroom 2 bath   1226sqft   $2,680  DESCRIPTION:  Beautiful 2 bedroom apartment right off of Route 50 and walking distance to the Clarendon Metro. this apartment is equipped with stainless steal appliances and stone countertops in the kitchen and bamboo flooring in the living space.  SPECIALS:  $500 off select apartment homes!! [Offer good thru 4/21/2015] Minutes from Georgetown and within walking distance to Clarendon's Metro and Arlington Blvd. Enjoy a resort-style pool, courtyard with movie theater, grilling station, and jogging trails.  2209 Pershing Drive  Arlington, va 22201  PROPERTY WEBSITE:  http://www.eqrworld.com/virginia/alexandria-arlington-apartments/courthouse/2201-pershing-apartments.aspx?ilsid=93
",dogs are OK - wooof,apartment,6,w/d in unit,attached garage,$2730,no smoking,1226,http://washingtondc.craigslist.org/nva/apa/4984716889.html
4984707348,Legato Rd at Lee Highway,Fairfax,US,38.848331,0,-77.367010,VA,available now,270000, 3.5,4 ,,2015-07-01,"
        Call /Text 
 show contact info
for address.          AVAILABLE: July 1st

ONLY professionals with job and rental history may apply - NO college students please!! 

4 BR, 3 FULL & 1 HALF BATHS, 2 MASTER SUITES W/ SEP SHOWER/TUB, 3 FINISHED LVLS ABOVE GROUND, BRICK FRNT, 2 CAR GARAGE, 9`CLGS ON ALL LVLS, HARDWOOD MAIN FL, UPGRADED OAK STAIRCASE,WALK TO FAIRFAX CORNER & CTY GOV CTR, NEAR RT 66, FFX CTY PKWY, RT 50, AND RT 29.

4 bedrooms + 3.5 baths + 2 car garage 7yr old townhouse in beautiful Fair Chase development -- available for rent JULY 1st.

Free access to all private community privileges: 
- Outdoor POOL 
- Indoor 24x7 gym 
- Kids playgrounds
- Pond 
- Clubhouse and party room

Assigned FCPS schools: Eagle View Elementary, Lanier Middle School, and Fairfax High School

Commuter's dream: Around the corner from Rt 29, Rt 66, Rt 50, West Ox Rd, Fairfax County PKWY, Rt 28
Easy access to Dulles Airport, Washington DC, Vienna, Reston, McLean, Tyson's Corner, Centerville, Herndon, Chantilly, Fairfax Government Center, Fairfax Corner, Fairfax Towne Center, Fair Oaks Mall, Fair Lakes Shopping Center, Reston Town Center. 

Please call/text 
 show contact info
with questions or to schedule a showing. Ready to move in July1st!
    ",,townhouse,15,,,$2550,,,http://washingtondc.craigslist.org/nva/apa/4984707348.html
4984715832,12201 Pender Creek Cir,fairfax,US,38.877600,22,-77.388500,va,available now,0, 3,2 ,cats are OK - purrr,2015-04-18,"
Bell Fair Oaks  CALL US TODAY! 
 show contact info
x786 Want more information? http://unit-availability.com/lead/601360019356/1?extnId=4370065 2  bedroom 3 bath 1280sqft  $2,055 - $2,131/mo  * Unit 69D - Available 10/16/14  * Unit 49B - Available 02/11/15  Welcome to Bell Fair Oaks!  Our newly redesigned apartment homes at Bell Fair Oaks in the greater DC affluent Fairfax suburb are beyond compare. This Fairfax, Virginia location is excellent -- 5 miles to Trinity Centre, less than 10 miles to Tysons Corner and Reston/Herndon; and located in highly rated Fairfax County School District. Bell Fair Oaks is minutes to 1-66, and Rt. 50 with dining, retail and entertainment options at your fingertips including Fair Oaks Mall, Fairfax Corner, and Fair Oaks Promenade. It's all right here, from the excitement of the nation's capital to upscale Fairfax location that offers something appealing for everyone. Bell Fair Oaks offers newly redesigned, one, two, and three garden home and loft homes with contemporary layouts and premium finishes that include Whirlpool black appliance package, vinyl wood-inspired flooring,beautiful granite countertops, walnut cabinets with nickel fixtures, brushed nickel lighting throughout, 2-inch blinds, 9ft ceilings, curved shower rods, programmable thermostats, closets with organizational shelving, washers and dryers, private patio or balcony and much more!  FLOORPLAN/UNIT AMENITIES:  * Fireplace  * P2U4 MANAGED BY: Bell Partners, Inc  PROPERTY WEBSITE: www.bellapartmentliving.com/va/fairfax/bell-fair-oaks CALL US TODAY!
show contact info
x786  12201 Pender Creek Cir  Fairfax, va 22033 Equal Housing Opportunity
",dogs are OK - wooof,apartment,0,w/d in unit,,$2055,,1280,http://washingtondc.craigslist.org/nva/apa/4984715832.html
4966352672,,,,,,,,available now,270000, 2.5,4 ,,2016-04-01,"
CONTACT INFODean Self
show contact info
Very Clean 4 BR, 2.5 BA Townhome in Sugarland Run! - $1,700 per month236 N Cottage Rd, Sterling, VA 20164FEATURESBedrooms: 4Bathrooms: 2.5Parking Spaces: 1 assigned + othersYear Built: 1973Subdivision: Sugarland RunSquare Footage: 1540DESCRIPTIONVery clean 4 BR, 2.5 Full BA (including private Master Bath), 2-level townhome in convenient Sugarland Run.  Hardwood flooring on the main level, a newer HVAC system and windows, a full-sized W/D, a deck for relaxing, a fenced back yard, and a storage area make this a great home!Sugarland Run offers play areas, common grounds, assigned parking, a community pool, and more.  Conveniently located near Rt. 7, NoVA Community College, Algonkian Regional Park, Sterling, Herndon, Reston, and the Dulles Corridor, and all of the shopping and restaurants those areas offer.Available 4/1/15.House-friendly pets possible. Non-smoking only. Security deposit is $1,700 with a 600+ credit score ($3,400 with a 500-600 credit score), plus $1,000 if you have pets. Minimum 1 year lease required; multi-year lease possible. Non-refundable application fee is $35 per adult applicant. Not accepting Housing Choice Vouchers. Advertised price assumes on-time, electronically-debited monthly rent payment; rent will be $75/month higher if not electronically debited, and at least $75/month higher if late. Several rent payment options are offered, allowing you to pay the rent 1, 2, or 4 times per month.Dean A. Self is a licensed realtor in Virginia with Berkshire Hathaway HomeServices PenFed Realty, Reston, VA. Call Dean at 
 show contact info
APPLIANCESRange/OvenFull RefrigeratorWasher/DryerDishwasherSink DisposalINTERIOR AMENITIESHardwood FloorsStorage AreasEXTERIOR AMENITIESFenced YardStorage RoomDeckLINKSSugarland Run Community - http://srhoa.com/OTHER PRICING DETAILSAvailable Date:   Wed Apr 01, 2015Deposit:   1700-3400Minimum Lease:   1 YrIncluded Utilities:   Trash
",,townhouse,10,w/d in unit,off-street parking,$1700,,1540,http://washingtondc.craigslist.org/nva/apa/4966352672.html
4984701198,1415 N Taft St,Arlington,US,38.889749,10,-77.081674,VA,available now,270000, 2,2 ,cats are OK - purrr,2015-04-18,"
 CALL US TODAY! 
show contact info
x334 THE PRIME AT ARLINGTON COURTHOUSE2 bedroom 2 bath   1208sqft   $2,625 - $2,695  DESCRIPTION:  Perfect for roommates seeking great open space in the common areas this apartment is inviting to all with a large open kitchen to entertain your friends and family. The bedrooms equal in space. the unbelievable closet space will leave you both content.  SPECIALS:  $500 off select apartment homes!! [Offer good thru 4/24/2015] Located just two blocks from the Courthouse Metro Station with convenient access to I-66, Georgetown and Alexandria.  1415 N Taft St  Arlington, va 22201  PROPERTY WEBSITE:  http://www.eqrworld.com/virginia/alexandria-arlington-apartments/courthouse/the-prime-at-arlington-courthouse-apartments.aspx?ilsid=93
",dogs are OK - wooof,apartment,6,w/d in unit,attached garage,$2625,no smoking,1208,http://washingtondc.craigslist.org/nva/apa/4984701198.html
4984674714,,,,38.856500,0,-77.059200,,available now,270000,,0,,2015-04-18,"
The Paramount  1425 S Eads St Arlington, va 22202 Property Website:  http://www.theparamountapt.com/index.aspx From $2,193 Welcome to The Paramount.  These expansive apartments are loaded with fine features and amenities including huge private balconies, a fitness center, yoga room, racquetball court and modernized kitchens and bathrooms. You'll enjoy breathtaking views of downtown D.C.-- and you'll fall in love with your simple commute. Just a block away from the Crystal City Metro station and with easy access to I-395 and Jefferson Davis Highway, when you live at The Paramount, you're able to get from point A to B in no time.  Floor Plan/Unit Amenities:  * Large Closets  Property Amenities:  * 2 Blocks From Crystal City Metro  * Complimentary WiFi in the Great Room  * 1 Mile or Less to Interstate  * Convenience Store / Deli  * 24 Hr Emergency Maintenance  * Resident Activities  * Racquetball Court  * Community Recycling  * Credit Cards Accepted  * Pre-wired for Cable & HighSpeed Internet  * Fitness Center  * ATM On-Site  * Near Bus Route Access  * Convenience Store & Dry Cleaners On Site  * Weight Room  * Near Metro Rail  * Clubhouse / Partyroom  * Near Virginia Rail Express  * Concierge  * Oversized Terraces in Every Residence  * Rooftop Sundeck with Panoramic View  * WiFi in Clubhouse Parking:Type - Garage Lot Garage parking available. Please call for more details. Pet Policy: Cats and Dogs are allowed. Some restrictions may apply. Please contact leasing office for details. Office Hours:Monday:   9:00am to 6:00pm Tuesday:   9:00am to 6:00pm Wednesday:   9:00am to 6:00pm Thursday:   9:00am to 6:00pm Friday:   9:00am to 6:00pm Saturday:   10:00am to 5:00pm Management Company: Bozzuto Management Company* Want more information? http://unit-availability.com/lead/101163404220/1?extnId=4329623 Call Us Today! 
 show contact info
x202 Equal Housing Opportunity
    ",,apartment,4,w/d in unit,attached garage,$2193,,,http://washingtondc.craigslist.org/nva/apa/4984674714.html
4984700341,4380 King Street,Alexandria,US,38.839958,5,-77.106214,VA,available now,270000, 1,1 ,cats are OK - purrr,2015-04-18,"
        Come tour our amazing community this weekend and move in next weekend!  Incredible one and two bedroom units available for immediate move in.  For example, we have a 881 sq. ft. one bedroom and den unit available that has a walk out balcony, lighted glass display shelves in the living room, granite countertops and stainless steel appliances.  It is a corner unit so it is filled with huge windows and lots of natural light--a must see!  Call today for a tour!

Halstead Tower by Windsor is located just off I-395 & King Street. We offer an easy commute (and free shuttle service to the Pentagon City Metro- 7 minutes!)  to anyone working in Washington, D.C. or Northern Virginia. 

Each home is equipped with the following: 
• Full size washer and dryer 
• Open floor plans with hardwood or carpeting and marble or slate flooring
• Granite countertops and stainless steel appliances
• Double vanities, rain showerheads, Jacuzzi tubs
• Electric heating and air conditioning 
• Spacious walk-in closet 
• And much more 

For your enjoyment and entertainment, Halstead Tower by Windsor provides you with: 
• Cloud 9 Lounge on 15th Floor with swimming pool, hot tub and fire pit
• Courtyard with entertaining options 
• 24-hour emergency on call maintenance 
• Spectacular views of DC
• Fitness center
• Pool table, poker table, and golf simulator
• Business center
• Media room
• Pet park areas
• Free guest parking
• Reserved residential parking
• Pet friendly

Don't Wait! Contact us at 
 show contact info
or visit our website at www.halsteadtowerbywindsor.com  to check out our pricing and availability or to apply online. We are an equal housing opportunity property. 
",dogs are OK - wooof,apartment,17,w/d in unit,attached garage,$1770,,881,http://washingtondc.craigslist.org/nva/apa/4984700341.html
